学校英文名,学校中文名,项目数,QS世界排名,QS年份,来源链接
Durham University,杜伦大学,6,,,
Imperial College London,帝国理工学院,10,,,
King's College London,伦敦国王学院,5,,,
Lancaster University,兰卡斯特大学,6,,,
The London School of Economics and Political Science,伦敦政治经济学院,10,,,
The University of Edinburgh,爱丁堡大学商学院,6,,,
The University of Manchester,曼彻斯特大学,8,,,
University College London,伦敦大学学院,7,,,
University of Bath,巴斯大学,5,,,
University of Birmingham,伯明翰大学,5,,,
University of Bristol,布里斯托大学,5,,,
"University of Cambridge, Judge Business School",剑桥大学贾奇商学院,8,,,
University of Exeter,埃克塞特大学,6,,,
University of Glasgow,格拉斯哥大学,6,,,
University of Leeds,利兹大学,6,,,
University of Liverpool,利物浦大学,6,,,
University of Nottingham,诺丁汉大学,6,,,
"University of Oxford, Saïd Business School",牛津大学赛德商学院,6,,,
University of Sheffield,谢菲尔德大学,6,,,
University of Southampton,南安普顿大学,5,,,
University of Warwick,华威大学,11,,,
